Title	Project	File Base Name	Coord Type	Start Longitude	Start Latitude	End Longitude	End Latitude	Velocity Offset	Rest Frequency	Frequency Delta	Start Cal Time	End Cal Time	Integration Period	Start Time	Reference	Epoch
PocketSpacecraft	MGS-NEO2-44117A	AZ250_EL30	AZEL	250	30	250	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ240_EL30	AZEL	240	30	240	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ230_EL30	AZEL	230	30	230	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ220_EL30	AZEL	220	30	220	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ210_EL30	AZEL	210	30	210	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ200_EL30	AZEL	200	30	200	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ190_EL30	AZEL	190	30	190	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ180_EL30	AZEL	180	30	180	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ170_EL30	AZEL	170	30	170	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ160_EL30	AZEL	160	30	160	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ150_EL30	AZEL	150	30	150	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ140_EL30	AZEL	140	30	140	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ130_EL30	AZEL	130	30	130	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ120_EL30	AZEL	120	30	120	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ110_EL30	AZEL	110	30	110	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ100_EL30	AZEL	100	30	100	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ90_EL30	AZEL	90	30	90	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ80_EL30	AZEL	80	30	80	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ70_EL30	AZEL	70	30	70	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ60_EL30	AZEL	60	30	60	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ50_EL30	AZEL	50	30	50	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ40_EL30	AZEL	40	30	40	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ30_EL30	AZEL	30	30	30	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ20_EL30	AZEL	20	30	20	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ10_EL30	AZEL	10	30	10	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ0_EL30	AZEL	0	30	0	30	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ0_EL40	AZEL	0	40	0	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ10_EL40	AZEL	10	40	10	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ20_EL40	AZEL	20	40	20	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ30_EL40	AZEL	30	40	30	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ40_EL40	AZEL	40	40	40	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ50_EL40	AZEL	50	40	50	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ60_EL40	AZEL	60	40	60	40	0	0	0	0	0	20	0	NO	AZEL
PocketSpacecraft	MGS-NEO2-44117A	AZ70_EL40	AZEL	70	40	70	40	0	0	0	0	0	20	0	NO	AZEL
